id,amount,payee,category,description,account_type,payment_type,consumer,flow_type,tag,abc_type,cost_type,trans_time,creation_time,modification_time
204320,16,"益阳伍阿姨麻辣烫","[10000,10004]","收钱码收款","2","1","3","1","2",,"3","2021-11-30 19:46:15","2025-03-29 00:20:36","2025-03-29 00:20:36"
204321,12,"苏食记麻辣烫","[10000,10004]","收钱码收款","2","1","3","1","2",,"3","2021-11-30 19:34:16","2025-03-29 00:20:36","2025-03-29 00:20:36"
204322,2.8,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:49:19","2025-03-29 00:20:36","2025-03-29 00:20:36"
204323,15,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:46:15","2025-03-29 00:20:36","2025-03-29 00:20:36"
204324,9.8,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:38:17","2025-03-29 00:20:36","2025-03-29 00:20:36"
204325,1,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:36:11","2025-03-29 00:20:36","2025-03-29 00:20:36"
204326,4,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:35:14","2025-03-29 00:20:36","2025-03-29 00:20:36"
204327,9,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:34:19","2025-03-29 00:20:36","2025-03-29 00:20:36"
204328,7,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:30:32","2025-03-29 00:20:36","2025-03-29 00:20:36"
204329,30,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:29:14","2025-03-29 00:20:36","2025-03-29 00:20:36"
204330,4.4,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:27:57","2025-03-29 00:20:36","2025-03-29 00:20:36"
204331,7.9,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:26:22","2025-03-29 00:20:36","2025-03-29 00:20:36"
204332,1.4,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:25:04","2025-03-29 00:20:36","2025-03-29 00:20:36"
204333,11,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:21:46","2025-03-29 00:20:36","2025-03-29 00:20:36"
204334,15,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:19:25","2025-03-29 00:20:36","2025-03-29 00:20:36"
204335,16.7,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:15:24","2025-03-29 00:20:36","2025-03-29 00:20:36"
204336,44,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 09:13:05","2025-03-29 00:20:36","2025-03-29 00:20:36"
204337,73,"拼多多","[90000,90001]","神牛摄影反光板椭圆形可折叠便携迷你反光布柔光板遮光布补光板","2","1","2","1","2",,"2","2021-11-29 22:34:30","2025-03-29 00:20:36","2025-03-29 00:20:36"
204338,60.7,"饿了么","[10000,10004]","周黑鸭(长沙凯德壹中心店)外卖订单","2","1","3","1","2",,"3","2021-11-29 19:44:33","2025-03-29 00:20:36","2025-03-29 00:20:36"
204339,19.9,"fertig旗舰店","[50000,50004]","Fertig洗碗机专用洗碗盐1kg软水盐洗涤粉剂 软水预防水垢","2","1","3","1","3",,"1","2021-11-29 18:48:17","2025-03-29 00:20:36","2025-03-29 00:20:36"
204340,521.8,"巴拉巴拉官方旗舰","[50000,50001]","【火拼价】巴拉巴拉童装男童毛衣针织打底衫儿童童装秋冬2021新款民族风设计 等多件","2","1","4","1","2",,"1","2021-11-30 02:46:18","2025-03-29 00:20:36","2025-03-29 00:20:36"
204341,8,"糯米果","[10000,10004]","收钱码收款","2","1","3","1","2",,"3","2021-11-28 19:15:07","2025-03-29 00:20:36","2025-03-29 00:20:36"
204342,10,"长沙臭豆腐","[10000,10004]","收钱码收款","2","1","3","1","2",,"3","2021-11-28 19:10:38","2025-03-29 00:20:36","2025-03-29 00:20:36"
204343,11,"益阳伍阿姨麻辣烫","[10000,10004]","收钱码收款","2","1","3","1","2",,"3","2021-11-28 19:02:49","2025-03-29 00:20:36","2025-03-29 00:20:36"
204344,3,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 19:44:40","2025-03-29 00:20:36","2025-03-29 00:20:36"
204345,89.8,"沃尔玛购物广场长沙观沙路店","[10000,10002]","超市商品","2","1","3","1","1",,"1","2021-11-27 19:19:11","2025-03-29 00:20:36","2025-03-29 00:20:36"
204346,23,"长沙市远觉饮品有限公司","[10000,10004]","二维码支付","2","1","3","1","2",,"3","2021-11-27 18:49:32","2025-03-29 00:20:36","2025-03-29 00:20:36"
204347,20,,"[100000,100003]",",淘宝现金红包提现","2","1","2","2","",,"1","2021-11-27 12:31:47","2025-03-29 00:20:36","2025-03-29 00:20:36"
204348,23.76,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 10:31:51","2025-03-29 00:20:36","2025-03-29 00:20:36"
204349,40,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 10:28:04","2025-03-29 00:20:36","2025-03-29 00:20:36"
204350,5.3,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 10:25:07","2025-03-29 00:20:36","2025-03-29 00:20:36"
204351,18,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 10:19:40","2025-03-29 00:20:36","2025-03-29 00:20:36"
204352,2,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 10:16:50","2025-03-29 00:20:36","2025-03-29 00:20:36"
204353,8.7,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 10:14:30","2025-03-29 00:20:36","2025-03-29 00:20:36"
204354,16.6,"饿了么","[10000,10004]","胖子饿了(24品店)外卖订单","2","1","3","1","2",,"3","2021-11-26 14:21:23","2025-03-29 00:20:36","2025-03-29 00:20:36"
204355,3,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-25 19:25:49","2025-03-29 00:20:36","2025-03-29 00:20:36"
204356,9,"胖子饿了长沙市府24品商场店","[10000,10004]","胖子饿了24品生活中心店 收钱吧微信","2","1","3","1","2",,"3","2021-11-25 19:02:33","2025-03-29 00:20:36","2025-03-29 00:20:36"
204357,18.6,"饿了么","[10000,10004]","茶颜悦色(24品四楼欢喜店)外卖订单","2","1","3","1","2",,"3","2021-11-25 12:57:36","2025-03-29 00:20:36","2025-03-29 00:20:36"
204358,28.8,"赛香西饼(十二店)","[10000,10004]","烘焙产品（赛香恒大店）","2","1","4","1","2",,"3","2021-11-25 10:06:56","2025-03-29 00:20:36","2025-03-29 00:20:36"
204359,10.5,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 08:18:08","2025-03-29 00:20:36","2025-03-29 00:20:36"
204360,3,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 08:13:35","2025-03-29 00:20:36","2025-03-29 00:20:36"
204361,5.2,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 08:12:26","2025-03-29 00:20:36","2025-03-29 00:20:36"
204362,12,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 08:11:40","2025-03-29 00:20:36","2025-03-29 00:20:36"
204363,9,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 08:08:47","2025-03-29 00:20:36","2025-03-29 00:20:36"
204364,14,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 08:07:15","2025-03-29 00:20:36","2025-03-29 00:20:36"
204365,13.8,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 08:04:20","2025-03-29 00:20:36","2025-03-29 00:20:36"
204366,13,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 08:02:09","2025-03-29 00:20:36","2025-03-29 00:20:36"
204367,4.7,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 07:56:52","2025-03-29 00:20:36","2025-03-29 00:20:36"
204368,15,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 07:53:26","2025-03-29 00:20:36","2025-03-29 00:20:36"
204369,11,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 07:47:59","2025-03-29 00:20:36","2025-03-29 00:20:36"
204370,43,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 07:46:13","2025-03-29 00:20:36","2025-03-29 00:20:36"
204371,58,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 07:43:53","2025-03-29 00:20:36","2025-03-29 00:20:36"
204372,150,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 07:38:42","2025-03-29 00:20:36","2025-03-29 00:20:36"
204373,3,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-23 19:44:48","2025-03-29 00:20:36","2025-03-29 00:20:36"
204374,9,"胖子饿了长沙市府24品商场店","[10000,10004]","胖子饿了24品生活中心店 收钱吧微信","2","1","3","1","2",,"3","2021-11-23 19:23:32","2025-03-29 00:20:36","2025-03-29 00:20:36"
204375,68,"神牛影智专卖店","[90000,90001]","背景架横杆伸缩杆 3米背景支架背景布纸可调节横臂悬架摄影棚附件","2","1","2","1","2",,"2","2021-11-23 15:01:57","2025-03-29 00:20:36","2025-03-29 00:20:36"
204376,99,"劲游旗舰店","[90000,90001]","单色背景纸纯色背景布影楼淘宝网店拍照摄影拍摄拍图背景白色黑色","2","1","2","1","2",,"2","2021-11-23 15:01:19","2025-03-29 00:20:36","2025-03-29 00:20:36"
204377,9,"胖子饿了长沙市府24品商场店","[10000,10004]","胖子饿了24品生活中心店 收钱吧微信","2","1","3","1","2",,"3","2021-11-22 19:31:40","2025-03-29 00:20:36","2025-03-29 00:20:36"
204378,78.2,"沃尔玛购物广场长沙观沙路店","[10000,10002]","超市商品","2","1","3","1","1",,"1","2021-11-22 19:28:07","2025-03-29 00:20:36","2025-03-29 00:20:36"
204379,13,"长沙市远觉饮品有限公司","[10000,10004]","二维码支付","2","1","3","1","2",,"3","2021-11-22 18:57:40","2025-03-29 00:20:36","2025-03-29 00:20:36"
204380,15,,"[100000,100003]",",淘宝现金红包提现","2","1","2","2","",,"1","2021-11-20 13:50:35","2025-03-29 00:20:36","2025-03-29 00:20:36"
204381,2,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-20 09:51:50","2025-03-29 00:20:36","2025-03-29 00:20:36"
204382,3,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-20 09:51:24","2025-03-29 00:20:36","2025-03-29 00:20:36"
