id,amount,payee,category,description,account_type,payment_type,consumer,flow_type,tag,abc_type,cost_type,trans_time,creation_time,modification_time
219628,16,"益阳伍阿姨麻辣烫","[10000,10004]","收钱码收款","2","1","3","1","2",,"3","2021-11-30 11:46:15","2025-03-24 08:41:47","2025-03-24 08:41:47"
219629,12,"苏食记麻辣烫","[10000,10004]","收钱码收款","2","1","3","1","2",,"3","2021-11-30 11:34:16","2025-03-24 08:41:47","2025-03-24 08:41:47"
219630,2.8,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:49:19","2025-03-24 08:41:47","2025-03-24 08:41:47"
219631,15,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:46:15","2025-03-24 08:41:47","2025-03-24 08:41:47"
219632,9.8,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:38:17","2025-03-24 08:41:47","2025-03-24 08:41:47"
219633,1,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:36:11","2025-03-24 08:41:47","2025-03-24 08:41:47"
219634,4,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:35:14","2025-03-24 08:41:47","2025-03-24 08:41:47"
219635,9,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:34:19","2025-03-24 08:41:47","2025-03-24 08:41:47"
219636,7,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:30:32","2025-03-24 08:41:47","2025-03-24 08:41:47"
219637,30,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:29:14","2025-03-24 08:41:47","2025-03-24 08:41:47"
219638,4.4,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:27:57","2025-03-24 08:41:47","2025-03-24 08:41:47"
219639,7.9,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:26:22","2025-03-24 08:41:47","2025-03-24 08:41:47"
219640,1.4,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:25:04","2025-03-24 08:41:47","2025-03-24 08:41:47"
219641,11,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:21:46","2025-03-24 08:41:47","2025-03-24 08:41:47"
219642,15,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:19:25","2025-03-24 08:41:47","2025-03-24 08:41:47"
219643,16.7,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:15:24","2025-03-24 08:41:47","2025-03-24 08:41:47"
219644,44,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-30 01:13:05","2025-03-24 08:41:47","2025-03-24 08:41:47"
219645,73,"拼多多","[90000,90002]","宝宝洞洞推拉书儿童3D立体机关洞洞书3-6岁认知早教益智启蒙书","2","1","4","1","2",,"2","2021-11-29 14:34:30","2025-03-24 08:41:47","2025-03-24 08:50:55"
219646,60.7,"饿了么","[10000,10004]","周黑鸭(长沙凯德壹中心店)外卖订单","2","1","3","1","2",,"3","2021-11-29 11:44:33","2025-03-24 08:41:47","2025-03-24 08:41:47"
219647,19.9,"fertig旗舰店","[50000,50004]","Fertig洗碗机专用洗碗盐1kg软水盐洗涤粉剂 软水预防水垢","2","1","3","1","3",,"1","2021-11-29 10:48:17","2025-03-24 08:41:47","2025-03-24 08:41:47"
219648,521.8,"巴拉巴拉官方旗舰","[50000,50001]","【火拼价】巴拉巴拉童装男童毛衣针织打底衫儿童童装秋冬2021新款民族风设计 等多件","2","1","4","1","2",,"1","2021-11-29 18:46:18","2025-03-24 08:41:47","2025-03-24 08:41:47"
219649,8,"糯米果","[10000,10004]","收钱码收款","2","1","3","1","2",,"3","2021-11-28 11:15:07","2025-03-24 08:41:47","2025-03-24 08:41:47"
219650,10,"长沙臭豆腐","[10000,10004]","收钱码收款","2","1","3","1","2",,"3","2021-11-28 11:10:38","2025-03-24 08:41:47","2025-03-24 08:41:47"
219651,11,"益阳伍阿姨麻辣烫","[10000,10004]","收钱码收款","2","1","3","1","2",,"3","2021-11-28 11:02:49","2025-03-24 08:41:47","2025-03-24 08:41:47"
219652,3,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 11:44:40","2025-03-24 08:41:47","2025-03-24 08:41:47"
219653,89.8,"沃尔玛购物广场长沙观沙路店","[10000,10002]","超市商品","2","1","3","1","1",,"1","2021-11-27 11:19:11","2025-03-24 08:41:47","2025-03-24 08:41:47"
219654,23,"长沙市远觉饮品有限公司","[10000,10004]","二维码支付","2","1","3","1","2",,"3","2021-11-27 10:49:32","2025-03-24 08:41:47","2025-03-24 08:41:47"
219655,20,,"[100000,100003]",",淘宝现金红包提现","2","1","2","2","",,"1","2021-11-27 04:31:47","2025-03-24 08:41:47","2025-03-24 08:41:47"
219656,23.76,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 02:31:51","2025-03-24 08:41:47","2025-03-24 08:41:47"
219657,40,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 02:28:04","2025-03-24 08:41:47","2025-03-24 08:41:47"
219658,5.3,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 02:25:07","2025-03-24 08:41:47","2025-03-24 08:41:47"
219659,18,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 02:19:40","2025-03-24 08:41:47","2025-03-24 08:41:47"
219660,2,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 02:16:50","2025-03-24 08:41:47","2025-03-24 08:41:47"
219661,8.7,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-27 02:14:30","2025-03-24 08:41:47","2025-03-24 08:41:47"
219662,16.6,"饿了么","[10000,10004]","胖子饿了(24品店)外卖订单","2","1","3","1","2",,"3","2021-11-26 06:21:23","2025-03-24 08:41:47","2025-03-24 08:41:47"
219663,3,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-25 11:25:49","2025-03-24 08:41:47","2025-03-24 08:41:47"
219664,9,"胖子饿了长沙市府24品商场店","[10000,10004]","胖子饿了24品生活中心店 收钱吧微信","2","1","3","1","2",,"3","2021-11-25 11:02:33","2025-03-24 08:41:47","2025-03-24 08:41:47"
219665,18.6,"饿了么","[10000,10007]","茶颜悦色(24品四楼欢喜店)外卖订单","2","1","","1","",,"3","2021-11-25 04:57:36","2025-03-24 08:41:47","2025-03-24 08:45:17"
219666,28.8,"赛香西饼(十二店)","[10000,10004]","烘焙产品（赛香恒大店）","2","1","4","1","2",,"3","2021-11-25 02:06:56","2025-03-24 08:41:47","2025-03-24 08:41:47"
219667,10.5,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 00:18:08","2025-03-24 08:41:47","2025-03-24 08:41:47"
219668,3,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 00:13:35","2025-03-24 08:41:47","2025-03-24 08:41:47"
219669,5.2,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 00:12:26","2025-03-24 08:41:47","2025-03-24 08:41:47"
219670,12,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 00:11:40","2025-03-24 08:41:47","2025-03-24 08:41:47"
219671,9,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 00:08:47","2025-03-24 08:41:47","2025-03-24 08:41:47"
219672,14,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 00:07:15","2025-03-24 08:41:47","2025-03-24 08:41:47"
219673,13.8,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,"1","2021-11-24 00:04:20","2025-03-24 08:41:47","2025-03-24 08:41:47"
