id,amount,payee,category,description,account_type,payment_type,consumer,flow_type,tag,abc_type,cost_type,trans_time,creation_time,modification_time
271869,16,"益阳伍阿姨麻辣烫","[10000,10004]","收钱码收款","2","1","3","1","2",,,"2021-11-30 19:46:15","2025-04-01 00:14:45","2025-04-01 00:14:45"
271870,12,"苏食记麻辣烫","[10000,10004]","收钱码收款","2","1","3","1","2",,,"2021-11-30 19:34:16","2025-04-01 00:14:45","2025-04-01 00:14:45"
271871,2.8,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:49:19","2025-04-01 00:14:45","2025-04-01 00:14:45"
271872,15,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:46:15","2025-04-01 00:14:45","2025-04-01 00:14:45"
271873,9.8,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:38:17","2025-04-01 00:14:45","2025-04-01 00:14:45"
271874,1,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:36:11","2025-04-01 00:14:45","2025-04-01 00:14:45"
271875,4,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:35:14","2025-04-01 00:14:45","2025-04-01 00:14:45"
271876,9,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:34:19","2025-04-01 00:14:45","2025-04-01 00:14:45"
271877,7,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:30:32","2025-04-01 00:14:45","2025-04-01 00:14:45"
271878,30,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:29:14","2025-04-01 00:14:45","2025-04-01 00:14:45"
271879,4.4,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:27:57","2025-04-01 00:14:45","2025-04-01 00:14:45"
271880,7.9,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:26:22","2025-04-01 00:14:45","2025-04-01 00:14:45"
271881,1.4,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:25:04","2025-04-01 00:14:45","2025-04-01 00:14:45"
271882,11,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:21:46","2025-04-01 00:14:45","2025-04-01 00:14:45"
271883,15,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:19:25","2025-04-01 00:14:45","2025-04-01 00:14:45"
271884,16.7,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:15:24","2025-04-01 00:14:45","2025-04-01 00:14:45"
271885,44,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-30 09:13:05","2025-04-01 00:14:45","2025-04-01 00:14:45"
271886,73,"拼多多","[90000,90001]","神牛摄影反光板椭圆形可折叠便携迷你反光布柔光板遮光布补光板","2","1","2","1","2",,,"2021-11-29 22:34:30","2025-04-01 00:14:45","2025-04-01 00:14:45"
271887,60.7,"饿了么","[10000,10004]","周黑鸭(长沙凯德壹中心店)外卖订单","2","1","3","1","2",,,"2021-11-29 19:44:33","2025-04-01 00:14:45","2025-04-01 00:14:45"
271888,19.9,"fertig旗舰店","[50000,50004]","Fertig洗碗机专用洗碗盐1kg软水盐洗涤粉剂 软水预防水垢","2","1","3","1","3",,,"2021-11-29 18:48:17","2025-04-01 00:14:45","2025-04-01 00:14:45"
271889,521.8,"巴拉巴拉官方旗舰","[50000,50001]","【火拼价】巴拉巴拉童装男童毛衣针织打底衫儿童童装秋冬2021新款民族风设计 等多件","2","1","4","1","2",,,"2021-11-30 02:46:18","2025-04-01 00:14:45","2025-04-01 00:14:45"
271890,8,"糯米果","[10000,10004]","收钱码收款","2","1","3","1","2",,,"2021-11-28 19:15:07","2025-04-01 00:14:45","2025-04-01 00:14:45"
271891,10,"长沙臭豆腐","[10000,10004]","收钱码收款","2","1","3","1","2",,,"2021-11-28 19:10:38","2025-04-01 00:14:45","2025-04-01 00:14:45"
271892,11,"益阳伍阿姨麻辣烫","[10000,10004]","收钱码收款","2","1","3","1","2",,,"2021-11-28 19:02:49","2025-04-01 00:14:45","2025-04-01 00:14:45"
271893,3,"Jackfrank","[10000,10001]","亲情卡","2","1","3","1","1",,,"2021-11-27 19:44:40","2025-04-01 00:14:45","2025-04-01 00:14:45"
271894,89.8,"沃尔玛购物广场长沙观沙路店","[10000,10002]","超市商品","2","1","3","1","1",,,"2021-11-27 19:19:11","2025-04-01 00:14:45","2025-04-01 00:14:45"
271895,23,"长沙市远觉饮品有限公司","[10000,10004]","二维码支付","2","1","3","1","2",,,"2021-11-27 18:49:32","2025-04-01 00:14:45","2025-04-01 00:14:45"
